mysql> show table status;
+-------------------------+--------+---------+------------+------------+----------------+-------------+------------------+--------------+-----------+----------------+---------------------+---------------------+---------------------+-------------------+----------+----------------+-----------------------+
| Name                    | Engine | Version | Row_format | Rows       | Avg_row_length | Data_length | Max_data_length  | Index_length | Data_free | Auto_increment | Create_time         | Update_time         | Check_time          | Collation         | Checksum | Create_options | Comment               |
| wt_metadata_mapping     | MyISAM |      10 | Dynamic    |         24 |             86 |       10672 |  281474976710655 |         1024 |      8592 |           NULL | 2008-11-07 14:45:55 | 2008-12-01 10:50:04 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_mptest_info          | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_mptest_limits        | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 4785074604081151 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_mptest_results       | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 4503599627370495 |         1024 |         0 |           NULL | 2008-11-13 22:52:10 | 2008-11-13 22:52:10 | 2008-11-13 22:52:10 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_mptest_stats_samples | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 8725724278030335 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_mptest_stats_summary | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 9851624184872959 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_parts_stats_samples  | MyISAM |      10 | Fixed      |     218927 |             13 |     2846051 | 3659174697238527 |      2016256 |         0 |           NULL | 2008-11-25 17:37:40 | 2008-11-25 17:37:40 | 2008-11-25 17:37:40 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_parts_stats_summary  | MyISAM |      10 | Fixed      |     104562 |             16 |     1672992 | 4503599627370495 |      1065984 |         0 |           NULL | 2008-11-25 17:37:58 | 2008-11-25 17:37:59 | 2008-11-25 17:37:59 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_prod_alarm           | MyISAM |      10 | Dynamic    |      23480 |             71 |     1679900 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:55 | 2008-11-07 17:49:10 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_ptest_info           | MyISAM |      10 | Dynamic    |    1497592 |             42 |    63546688 |  281474976710655 |      3952640 |         0 |           NULL | 2008-11-28 17:06:50 | 2008-11-28 17:06:55 | 2008-11-28 17:06:55 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
